Title,Author,Series,Series_Number,Topic/Genre,Location,Coppies
Can An Aardvark Bark?,"Stewart, Melissa",N/A,N/A,N/A,"4th Grade, S",1
"I Survived the Destruction of Pompeii, AD 79","Tarshis, Lauren",I Survived,N/A,N/A,"4th Grade, T",1
"The Hindenburg Disaster, 1937","Tarshis, Lauren",I Survived,N/A,N/A,"4th Grade, T",1
Out of Orbit,"Wilkinson, Carole",Fact Meets Fiction,N/A,N/A,"4th Grade, W",1
Missing Pieces,"West, Carly Anne",Hello Neighbor,N/A,N/A,"4th Grade, W",1
Buried Secrets,"West, Carly Anne",Hello Neighbor,N/A,N/A,"4th Grade, W",1
Star Wars a New Hope: The Life of Luke Skywalker,"Windham, Ryder",N/A,N/A,N/A,"4th Grade, W",1
The Seer of Shadows,Avi,N/A,N/A,N/A,"5th Grade, A",1
The Barn,Avi,N/A,N/A,N/A,"5th Grade, A",1
Never Swipe a Bully's Bear,"Applegate, Katherine",Roscoe Riley Rules,2,N/A,"5th Grade, A",1
Summer According to Humphrey,"Birney, Betty G.",According to Humphrey,6,N/A,"5th Grade, B",1
Spring According to Humphrey,"Birney, Betty G.",According to Humphrey,12,N/A,"5th Grade, B",1
Friendship According to Humphrey,"Birney, Betty G.",According to Humphrey,2,N/A,"5th Grade, B",14
Adventure According to Humphrey,"Birney, Betty G.",According to Humphrey,5,N/A,"5th Grade, B",2
Trouble According to Humphrey,"Birney, Betty G.",According to Humphrey,3,N/A,"5th Grade, B",6
Because of Mr. Terupt,"Buyea, Rob",Mr. Terupt,1,N/A,"5th Grade, B",4
My Best Frenemy,"Bowe, Julie",N/A,N/A,N/A,"5th Grade, B",1
I Believe in Unicorns,"Blythe, Gary",N/A,N/A,N/A,"5th Grade, B",1
The Calder Game,"Balliett, Blue",N/A,N/A,N/A,"5th Grade, B",1
T.J's Secret Pitch,"Bowen, Fred",N/A,N/A,N/A,"5th Grade, B",1
Alibi,"Butcher, Kristin",N/A,N/A,N/A,"5th Grade, B",1
The Usual Suspects,"Broaddus, Maurice",N/A,N/A,N/A,"5th Grade, B",3
13,"Brown, Jason Robert; Elish, Dan",N/A,N/A,N/A,"5th Grade, B",3
Tales of a Fourth Grade Nothing,"Blume, Judy",The Fudge Books,N/A,N/A,"5th Grade, B",3
Horse Power,"Bryant, Bonnie",The Saddle Club,4,N/A,"5th Grade, B",1
Al Capone Does My Shirts,"Choldenko, Gennifer",A Tale from Alcatraz,N/A,N/A,"5th Grade, C",1
Al Capone Throws Me a Curve,"Choldenko, Gennifer",A Tale From Alcatraz,N/A,N/A,"5th Grade, C",4
Blood on the River: James Town 1607,"Carbone, Elisa",N/A,N/A,N/A,"5th Grade, C",1
The Dinosaur that Followed Me Home,"Coville, Bruce",N/A,N/A,N/A,"5th Grade, C",1
"Bud, Not Buddy","Curtis, Christopher Paul",N/A,N/A,N/A,"5th Grade, C",1
High School Musical The Musical The Series: The Road Trip,"Cruz, Melissa De La",N/A,N/A,N/A,"5th Grade, C",2
The Watsons Go to Birmingham,"Curtis, Christopher Paul",N/A,N/A,N/A,"5th Grade, C",3
Lunch Money,"Clements, Andrew",N/A,N/A,N/A,"5th Grade, C",5
Beyond the Kingdoms,"Colfer, Chris",The Land of Stories,4,N/A,"5th Grade, C",2
The Legend of the Bluebonnet,"Depaola, Tomie",N/A,N/A,N/A,"5th Grade, D",1
Knighthood for Beginners,"Dolan, Elys",N/A,N/A,N/A,"5th Grade, D",1
The Lemonade War,"Davies, Jacqueline",N/A,N/A,N/A,"5th Grade, D",10
The Enormous Crocodile,"Dahl, Roald",N/A,N/A,N/A,"5th Grade, D",2
Flora & Ulysses,"DiCamillio, Kate",N/A,N/A,N/A,"5th Grade, D",3
Dragons in a Bag,"Elliott, Zetta",Dragons in a Bag,1,N/A,"5th Grade, E",2
Maya and the Robot,"Ewing, Eve L.",N/A,N/A,N/A,"5th Grade, E",3
Substitute Trouble,"English, Karen",Nikki & Deja,N/A,N/A,"5th Grade, E",1
The Fabulous Firework Family,"Flora, James",N/A,N/A,N/A,"5th Grade, F",1
Sort of Super,"Gapstur, Eric",N/A,N/A,N/A,"5th Grade, G",1
The Accomplice,"Grisham, John",Theodore Boone,N/A,N/A,"5th Grade, G",2
Blood on the Plains,"Hunter, Erin",Curse of the Sandtongue: Bravelands,N/A,N/A,"5th Grade, H",3
The Strangers,"Haddix, Margaret Peterson",Greystone Secrets,1,N/A,"5th Grade, H",1
The Gift of the Magi and Other Stories,"Henry, O.",N/A,N/A,N/A,"5th Grade, H",1
A Spoon for Every Bite (Una Cuchara Para Cada Bocada),"Hayes, Joe",N/A,N/A,N/A,"5th Grade, H",1
King of the Wind: The Story of the Godolphin Arabian,"Henry, Marguerite",N/A,N/A,N/A,"5th Grade, H",1
We Are Family,"James, Lebron; Williams, Andrea",N/A,N/A,N/A,"5th Grade, J",1
The Riverdale Diaries: Hello Betty,"Kuhn, Sarah",The Riverdale Diaries,1,N/A,"5th Grade, K",1
In the Year of the Boar and Jackie Robinson,"Lord, Bette Bao",N/A,N/A,N/A,"5th Grade, L",1
The Lost Jewels of Naboorh,"Montgomery, R.A",Choose Your Own Adventure,4,N/A,"5th Grade, M",1
You Be the Jury,"Miller, Marvin",N/A,N/A,N/A,"5th Grade, M",1
Soccer Counts!,"McGrath, Barbara Barbieri; Alderman, Peter",N/A,N/A,N/A,"5th Grade, M",1
Time Travelers: Blasting Through the Past,"Macdonald, Kimber",N/A,N/A,N/A,"5th Grade, M",1
Soccer Show-Off,"Maddox, Jake",N/A,N/A,N/A,"5th Grade, M",3
The Phantom Tollbooth,"Juster, Norton",N/A,N/A,N/A,"5th Grade, N",1
The Bravest  Thing,"Napoli, Donna Jo",N/A,N/A,N/A,"5th Grade, N",1
The Borrowers,"Norton, Mary",N/A,N/A,N/A,"5th Grade, N",1
Eating Enchiladas,"Naylor, Phyllis Reynolds",Simply Sarah,N/A,N/A,"5th Grade, N",5
Big Nate: Twice the 'Tude,"Peirce, Lincoln",Big Nate,N/A,N/A,"5th Grade, P",1
Brian's Winter,"Paulson, Gary",Hatchet,N/A,N/A,"5th Grade, P",1
Brian's Return,"Paulson, Gary",Hatchet,N/A,N/A,"5th Grade, P",1
The Case of the Groaning Ghost,"Preller, James",Jigsaw Jones Mystery,32,N/A,"5th Grade, P",1
Middle School Misadventures: Dance Disaster,"Platt, Jason",Middle School Misadventures,N/A,N/A,"5th Grade, P",1
A Year Down Yonder,"Peck, Richard",N/A,N/A,N/A,"5th Grade, P",1
Big Foot and Little Foot,"Potter, Ellen",N/A,N/A,N/A,"5th Grade, P",1
A Single Shard,"Park, Linda Sue",N/A,N/A,N/A,"5th Grade, P",1
Lawn Boy,"Paulsen, Gary",N/A,N/A,N/A,"5th Grade, P",1
The Zombie Zone,"Roy, Ron",A to Z Mysteries,26,N/A,"5th Grade, R",1
Paradise on Fire,"Rhodes, Jewell Parker",N/A,N/A,N/A,"5th Grade, R",2
The Adventure is Now,"Redman, Jess",N/A,N/A,N/A,"5th Grade, R",2
Look Both Ways,"Reynolds, Jason",N/A,N/A,N/A,"5th Grade, R",3
The Amazing Beef Squad: Never Say Die!,"Ross, Jason",N/A,N/A,N/A,"5th Grade, R",4
Becoming Naomi León,"Ryan, Pam Muñoz",N/A,N/A,N/A,"5th Grade, R",6
Simon B. Rhymin' Gets in the Game,"Reed, Dwayne",Simon B. Rhymin',3,N/A,"5th Grade, R",2
The Puzzle of the Pretty Pink Handkerchief,"Stanley, George E.",Detectives,2,N/A,"5th Grade, S",1
The Mystery of the Stolen Statue,"Stanley, George E.",Detectives,10,N/A,"5th Grade, S",3
Baseball in April and other Stories,"Soto, Gary",N/A,N/A,N/A,"5th Grade, S",1
Gloom Town,"Smith, Ronald L.",N/A,N/A,N/A,"5th Grade, S",1
Sideways Stories From Wayside School,"Sachar, Louis",N/A,N/A,N/A,"5th Grade, S",3
When You Reach Me,"Stead, Rebecca",N/A,N/A,N/A,"5th Grade, S",3
Beach Party,"Stephens, Mason; Stephens, Hines",Zoey 101,N/A,N/A,"5th Grade, S",1
K's Car Can Go Anywhere,"Tune, Jonathan; Doughty, Eleanor",N/A,N/A,N/A,"5th Grade, T",1
One Crazy Summer ,"Williams-Garcia, Rita",N/A,N/A,N/A,"5th Grade, W",1
A Rover's Story,"Warga, Jasmine",N/A,N/A,N/A,"5th Grade, W",3
The Boxcar Children,"Warner, Gertrude Chandler",The Boxcar Children,1,N/A,"5th Grade, W",1
Surprise Island,"Warner, Gertrude Chandler",The Boxcar Children,2,N/A,"5th Grade, W",1
The Animal Shelter Mystery,"Warner, Gertrude Chandler",The Boxcar Children,22,N/A,"5th Grade, W",1
The Mystery of the Star Ruby,"Warner, Gertrude Chandler",The Boxcar Children,89,N/A,"5th Grade, W",1
From Wimpy to Warrior the Navy Seal Way,"Willink, Jocko",Way of the Warrior Kid,1,N/A,"5th Grade, W",3
Sounder,"Armstrong, William H.",N/A,N/A,N/A,"Middle School, A",1
Gregor the Overlander,"Collins, Suzanne",Underland Chronicles,1,N/A,"Middle School, C",1
The Opal Deception,"Colfer, Eoin",Artemis Fowl,4,N/A,"Middle School, C",1
Walk Two Moons,"Creech, Sharon",N/A,N/A,N/A,"Middle School, C",1
James and the Giant Peach,"Dahl, Ronald",N/A,N/A,N/A,"Middle School, D",1
The Tale of Despereaux,"DiCamillo, Kate",N/A,N/A,N/A,"Middle School, D",1
Where I'd Like to Be,"Dowell, Frances O'Roark",N/A,N/A,N/A,"Middle School, D",1
Dovey Coe,"Dowell, Frances O'Roark",N/A,N/A,N/A,"Middle School, D",1
Lily's Crossing,"Giff, Patricia Reilly",N/A,N/A,N/A,"Middle School, G",1
Nory Ryan's Song,"Giff, Patricia Reilly",N/A,N/A,N/A,"Middle School, G",1
Planet Middle School,"Grimes, Nikki",N/A,N/A,N/A,"Middle School, G",1
Running Out of Time,"Haddix, Margaret Peterson",Out of Time,1,N/A,"Middle School, H",1
Hoot,"Hiaasen, Carl",N/A,N/A,N/A,"Middle School, H",1
The Climb,"Korman, Gordon",Everest,2,N/A,"Middle School, K",1
The View from Saturday,"Konigsburg, E.L.",N/A,N/A,N/A,"Middle School, K",1
Ella Enchanted,"Levine, Gail Carson",N/A,N/A,N/A,"Middle School, L",1
Dawn,"Martin, Ann M.",California Diaries,2,N/A,"Middle School, M",1
Mirror Mirror,"Maguire, Gregory",N/A,N/A,N/A,"Middle School, M",1
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",N/A,N/A,N/A,"Middle School, M",1
Dark Souls,"Morris, Paula",N/A,N/A,N/A,"Middle School, M",1
Spirit Walker,"Paver, Michelle",Chronicles of Ancient Darkness,2,N/A,"Middle School, P",1
Esperanza Rising,"Ryan, Pam Muñoz",N/A,N/A,N/A,"Middle School, R",1
Spellbinder,"Stringer, Helen",Spellbinder,1,N/A,"Middle School, S",1
Black Beauty,"Sewell, Anna",N/A,N/A,N/A,"Middle School, S",1
Maniac Magee,"Spinelli, Jerry",N/A,N/A,N/A,"Middle School, S",1
P.S. Be Eleven,"Williams-Garcia, Rita",Gaither Sisters,2,N/A,"Middle School, W",1
Uncles: A Tribute to the Coolest Guys in the World,"Wild, Russell",N/A,N/A,N/A,"Middle School, W",1
The Lost Colony,"Colfer, Eoin",Artemis Fowl,5,N/A,"Middle School, C",2
Restart,"Korman, Gordon",N/A,N/A,N/A,"Middle School, K",2
Where the Red Fern Grows,"Rawls, Wilson",N/A,N/A,N/A,"Middle School, R",3
Dinosaurs,"Alexandria, Virginia",A Child's First Library of Learning,N/A,N/A,"Nonfiction, Dinosaurs",1
Dinosaur Time,Peggy Parish,An I Can Read Book,N/A,N/A,"Nonfiction, Dinosaurs",1
Walking with Dinosaurs: Photo Journal,Stephen Cole,BBC,N/A,N/A,"Nonfiction, Dinosaurs",1
Ankylosaurus,Janet Riehecky,N/A,N/A,Ankylosaurus,"Nonfiction, Dinosaurs",1
Compsognathus,Janet Riehecky,N/A,N/A,Compsognathus,"Nonfiction, Dinosaurs",1
Maiasaura,Janet Riehecky,N/A,N/A,Maiasaura,"Nonfiction, Dinosaurs",1
All About Dinosaurs,"Dougal Dixon, Dee Phillips",N/A,N/A,N/A,"Nonfiction, Dinosaurs",1
The Children's Dinosaur Encyclopedia,Jinny Johnson,N/A,N/A,N/A,"Nonfiction, Dinosaurs",1
Prehistoric Animals,Peter Zallinger,N/A,N/A,N/A,"Nonfiction, Dinosaurs",1
Baby Stegosaurus,Beth Spanjian,N/A,N/A,Stegosaurus,"Nonfiction, Dinosaurs",1
The Spike-Tailed Dinosaur Stegosaurus,Michael Berenstain,N/A,N/A,Stegosaurus,"Nonfiction, Dinosaurs",1
Dinosaurs,Paul Wilis,Reader's Digest Pathfinders,N/A,N/A,"Nonfiction, Dinosaurs",1
Dinosaurs!,Korynn Wible-Freels,Ripley Readers,N/A,N/A,"Nonfiction, Dinosaurs",1
Dinosaur Hunters,Kate McMullan,Step Into Reading,N/A,N/A,"Nonfiction, Dinosaurs",1
Dinosaur Hunters,Kate McMullan,Step Into Reading,N/A,N/A,"Nonfiction, Dinosaurs",1
Dinosaur Babies,Lucille Recht Penner,Step Into Reading,N/A,N/A,"Nonfiction, Dinosaurs",1
Trith or Lie: Dinosaurs,Erica S. Perl,Step Into Reading,N/A,Truth or Lie,"Nonfiction, Dinosaurs",1
Trith or Lie: Dinosaurs,Erica S. Perl,Step Into Reading,N/A,Truth or Lie,"Nonfiction, Dinosaurs",1
Amazing Tigers!,Sarah L. Thomas,An I Can Read Book,N/A,Tigers,"Nonfiction, Animals",1
The Seal,Charlotte Knox,Animal World,N/A,Seals,"Nonfiction, Animals",1
Elephants,Kate Petty,Baby Animals,N/A,Elephants,"Nonfiction, Animals",1
Slinky Scaly Snakes,Jennifer Dussling,DK Readers,N/A,Snakes,"Nonfiction, Animals",1
How Spiders Catch Their Food,Marilyn Woolley,Explorations,N/A,Spiders,"Nonfiction, Animals",1
Apes and Monkeys,John Grassy,Eyes on Nature,N/A,Apes/Monkeys,"Nonfiction, Animals",1
Amazing Bats,Alfred A. Knopf,Eyewitness Juniors,N/A,Bats,"Nonfiction, Animals",1
I Want to Be a Veterinarian,Catheriane O'Neill Grace,I Want To Be...,N/A,Veterinarian,"Nonfiction, Animals",1
Pandas and Other Endangered Species,"Mary Pope Osborne, Natalie Pope Boyce",Magic Tree House Fact Tracker,N/A,Endangered,"Nonfiction, Animals",1
Owen and Maze: the True Story of a Remarkable Friendship,"Isabella Hatkoff, Craig Hatkoff, Paula Kahumbu",N/A,N/A,Animal Friendship,"Nonfiction, Animals",1
Animal Babies,Steve Parker,N/A,N/A,Babies,"Nonfiction, Animals",1
Birds of the World,Polly Greenberg,N/A,N/A,Birds,"Nonfiction, Animals",1
The Cat: Why Do Cats Purr? And Other True Facts,Apple Jordan,N/A,N/A,Cats,"Nonfiction, Animals",1
In the Days of Dinosaurs: The Careful Crocodiles,Beverley Randell,N/A,N/A,Crocodiles,"Nonfiction, Animals",1
Wildlife Fact File,Unknown,N/A,N/A,Encyclopedia,"Nonfiction, Animals",1
Insectopedia,Douglas Florian,N/A,N/A,Insects,"Nonfiction, Animals",1
My Pet LIzards,LeeAnne Engfer,N/A,N/A,Lizards,"Nonfiction, Animals",1
Animal Defenses: How Animals Protect Themselves,"Etta Kaner, Pat Stephens",N/A,N/A,N/A,"Nonfiction, Animals",1
How Animals Survive,Barabara Donovan,N/A,N/A,N/A,"Nonfiction, Animals",1
Animal Kingdom,"Rebecca L. Grambo, John Grassy, Robert Matero",N/A,N/A,N/A,"Nonfiction, Animals",1
Animal Ecyclopedia for Children,Roger Few,N/A,N/A,N/A,"Nonfiction, Animals",1
All About Rattlesnakes,Jim Arnosky,N/A,N/A,Rattlesnakes,"Nonfiction, Animals",1
Animals Helping After DIsasters,Jennifer Zeiger,N/A,N/A,Search and Rescue,"Nonfiction, Animals",1
If Sharks Disappeared,Lily Williams,N/A,N/A,Sharks,"Nonfiction, Animals",1
Reptiles & Amphibians,Catherine Herbert Howell,National Geographic,N/A,Amphibians/Reptiles,"Nonfiction, Animals",1
All About Bears,Jennifer Szymanski,National Geographic Kids,N/A,Bears,"Nonfiction, Animals",1
Animal Armor,Laura Marsh,National Geographic Kids,N/A,Defenses,"Nonfiction, Animals",1
Elephants,Avery Elizabeth Hurt,National Geographic Kids,N/A,Elephants,"Nonfiction, Animals",1
Elephants,Avery Elizabeth Hurt,National Geographic Kids,N/A,Elephants,"Nonfiction, Animals",1
Hippos,Maya Myers,National Geographic Kids,N/A,Hippos,"Nonfiction, Animals",1
Hippos,Maya Myers,National Geographic Kids,N/A,Hippos,"Nonfiction, Animals",1
Lions,Laura Marsh,National Geographic Kids,N/A,Lions,"Nonfiction, Animals",1
Baby Animals,Marfé Ferguson Delano,National Geographic Kids,N/A,N/A,"Nonfiction, Animals",1
Penguins,Anne Schreiber,National Geographic Kids,N/A,Penguins,"Nonfiction, Animals",1
Sea Otters,Laura Marsh,National Geographic Kids,N/A,Sea Otters,"Nonfiction, Animals",1
Snakes,Melissa Stewart,National Geographic Kids,N/A,Snakes,"Nonfiction, Animals",1
Tigers,Laura Marsh,National Geographic Kids,N/A,Tigers,"Nonfiction, Animals",1
Dogs Working for People,Joanna Foster,National Geographic Society,N/A,Dogs,"Nonfiction, Animals",1
Spiders,Laura Marsh,National Georgraphic: Kids,N/A,Spiders,"Nonfiction, Animals",1
Birds,Carolyn MacLulich,Scholastic,N/A,Birds,"Nonfiction, Animals",1
Butterflies,Karen Shapiro,Scholastic,N/A,Butterflies,"Nonfiction, Animals",1
The Bravest Dog Ever: The True Story of Balto,Natalie Standiford,Step Into Reading,N/A,Balto,"Nonfiction, Animals",1
Trith or Lie: Dogs!,Erica S. Perl,Step Into Reading,N/A,Dogs,"Nonfiction, Animals",1
Baseball: Play Like a Pro,Dick Walker,Be The Best,N/A,Baseball,"Nonfiction, Culture",1
Welcome to Greece,"Meredith Costain, Paul Collins",Countries of the World,N/A,Greece,"Nonfiction, Culture",1
Finland,Tan Chung Lee,Festivals of the World,N/A,Finland,"Nonfiction, Culture",1
Germany,Richard Lord,Festivals of the World,N/A,Germany,"Nonfiction, Culture",1
Netherlands,Joyce Van Fenema,Festivals of the World,N/A,Netherlands,"Nonfiction, Culture",1
Soccer,"Natalie Pope Boyce, Mary Pope Osborne",Magic Tree House (Research Guide),N/A,Soccer ,"Nonfiction, Culture",2
Inspirational Basketball GOATS Stories,Harris Baker,N/A,N/A,Basketball,"Nonfiction, Culture",1
A Treasury of Stories From Around the World,Linda Jennings,N/A,N/A,Fables?,"Nonfiction, Culture",1
The Story of the Underground Railroad,R. Conrad Stein,Cornerstones of Freedom,N/A,Underground Railroad,"Nonfiction, History",1
A Knight's Journey,Carole Wilkinson,Fact Meets Fiction,N/A,Knights,"Nonfiction, History",1
American Revolution,"Natalie Pope Boyce, Mary Pope Osborne",Magic Tree House (Research Guide),N/A,American Revolution,"Nonfiction, History",1
Titanic,"Will Osborne, Mary Pope Osborne",Magic Tree House (Research Guide),N/A,Titanic,"Nonfiction, History",1
Coming to America,Debra P. Hershkowitz,N/A,N/A,Ellis Island,"Nonfiction, History",1
Going Along With Lewis & Clark,Barbara Fifer,N/A,N/A,Exploration,"Nonfiction, History",1
So Far From the Sea,Eve Bunting,N/A,N/A,Japanese Internment Camp,"Nonfiction, History",1
If You Lived in the Days of the Knights,Ann McGovern,N/A,N/A,Middle Ages,"Nonfiction, History",1
Buffalo Women,Paul Goble,N/A,N/A,Native Americans,"Nonfiction, History",1
Escape to Freedom: The Underground Railround,Barbara Brooks Simons,N/A,N/A,Underground railroad,"Nonfiction, History",1
The March on Washington,Bonnie Bader,Real Stories From My Time,N/A,Civil Rights,"Nonfiction, History",1
The Trail of Tears,Joseph Bruchac,Step Into Reading,N/A,Trail of Tears,"Nonfiction, History",1
Ellis Island,Susan Ring,Time For Kids Readers,N/A,Ellis Island,"Nonfiction, History",1
The Children's Book of Art,Rosie Dickins,Usborne,N/A,Art,"Nonfiction, History",1
Chemistry: Getting a big Reaction,Dan Green,Basher Science,N/A,Chemistry,"Nonfiction, Science",1
Flight,Terry Gywnn-Jones,Discoveries,N/A,Engineering,"Nonfiction, Science",1
Planet Earth,Capella,Explore Our World,N/A,Earth,"Nonfiction, Science",1
Exploring Earth's Treasures,Donald Olson,Eyes on Adventure,N/A,Geology,"Nonfiction, Science",1
Exploring Natural Disasters,Stella Sands,Eyes on Adventure,N/A,Natural Disasters,"Nonfiction, Science",1
Exploring Natural Disasters,Stella Sands,Eyes on Adventure,N/A,Natural Disasters,"Nonfiction, Science",1
Human Body,Steve Parker,Eyewitness Explorers,N/A,Human Body,"Nonfiction, Science",1
Real Sci-Fi,George Ivanoff,Fact Meets Fiction,N/A,Sci-Fi ,"Nonfiction, Science",1
Rain Forest,Barbara Taylor,Look Closer,N/A,Rainforest,"Nonfiction, Science",1
Rain Forests,"Will Osborne, Mary Pope Osborne",Magic Tree House Fact Tracker,N/A,Rain Forests,"Nonfiction, Science",1
Digging up HIstory,Daniel Shepard,N/A,N/A,Archeology,"Nonfiction, Science",1
Living in the Sahara,Doreen Beauregard,N/A,N/A,Desserts,"Nonfiction, Science",1
"Common Ground: The Water, Earth, and Air we Share",Molly Bang,N/A,N/A,Earth,"Nonfiction, Science",1
Discovering Electricity,Natalie Lunis,N/A,N/A,Electricity,"Nonfiction, Science",1
Energy,Lisa Trumbauer,N/A,N/A,Energy,"Nonfiction, Science",1
Wild Technology: Inventions Inspired by Nature,Phil Gates,N/A,N/A,Engineering,"Nonfiction, Science",1
My World,Ira Wolfman,N/A,N/A,Geography,"Nonfiction, Science",1
Let's Go Rock Collecting,Roma Gans,N/A,N/A,Geology,"Nonfiction, Science",1
Remarkable Rocks,Ron Cole,N/A,N/A,Geology,"Nonfiction, Science",1
Human Body: A Book With Guts,Dan Green,N/A,N/A,Human Body,"Nonfiction, Science",1
The Bones & Skeleton Book,Stephen Cumbaa,N/A,N/A,Human Body,"Nonfiction, Science",1
Then and Now,Claire Owen,N/A,N/A,Innovation,"Nonfiction, Science",1
Jungle Explorer,Michael Bright,N/A,N/A,Jungles,"Nonfiction, Science",1
Science and Technology,Brian Williams,N/A,N/A,N/A,"Nonfiction, Science",1
Earthquakes,Franklin M. Branley,N/A,N/A,Natural Disasters,"Nonfiction, Science",1
Landforms by the Sea,Kathy Page Barabas,N/A,N/A,Ocean landforms,"Nonfiction, Science",1
Living Sunlight: How Plants Bring The Earth To LIfe,"Molly Bang, Penny Chísholm",N/A,N/A,Photosynthesis,"Nonfiction, Science",1
A World of Sound,"Nancy Leber, Robin Bromley",N/A,N/A,Sound,"Nonfiction, Science",1
How Science Works,Judith Hann,Reader's Digest,N/A,N/A,"Nonfiction, Science",1
First Encyclopedia of Science,Rachel Firth,Scholastic,N/A,N/A,"Nonfiction, Science",1
Floods!,Lorraine Jean Hopping,Scholastic,N/A,Natural Disasters,"Nonfiction, Science",1
North Pole South Pole,Nancy Smiler Levinson,Scholastic,N/A,North/South Pole,"Nonfiction, Science",1
Life in the Deserts,Lucy Baker,Scholastic (Life In The),N/A,Deserts,"Nonfiction, Science",1
Amazing Magnetism,Rebecca Carmi,Tha Magic School Bus Chapter Book,N/A,Magnetism,"Nonfiction, Science",1
The Usborne Big Book of the Body,Minna Lacey,Usborne,N/A,Body,"Nonfiction, Science",1
LIft-the-flap Picture Atlas,"Alex Frith, Kate Leake",Usborne,N/A,Geography,"Nonfiction, Science",1
I Wonder Why Fish Don't Drown,Annabelle Donati,I Wonder,N/A,Ocean,"Nonfiction, Interesting Questions",1
I Wonder Why Snakes Shed Their Skin,Amanda O'Neill,I Wonder Why,N/A,Reptiles,"Nonfiction, Interesting Questions",1
Creature Features: 25 Animals Explain Why They Look the Way They Do,"Steve Jenkins, Robin Page",N/A,N/A,Animals,"Nonfiction, Interesting Questions",1
Creature Features: 25 Animals Explain Why They Look the Way They Do,"Steve Jenkins, Robin Page",N/A,N/A,Animals,"Nonfiction, Interesting Questions",1
Creature Features: 25 Animals Explain Why They Look the Way They Do,"Steve Jenkins, Robin Page",N/A,N/A,Animals,"Nonfiction, Interesting Questions",1
I Wonder Why I Blink and Other Questions About My Body,Brigid Avison,N/A,N/A,Body,"Nonfiction, Interesting Questions",1
Instant Encyclopedia: Facts in a Flash!,Playmore/Waldman,N/A,N/A,Encyclopedia,"Nonfiction, Interesting Questions",1
Just Joking 2,National Geographic ,National Geographic Kids,N/A,Jokes,"Nonfiction, Interesting Questions",1
Ultimate Weird but True,"Elizabeth Carney, Sarah Wassner Flynn, Ruth Musgrave",National Geographic Kids,N/A,Weird but True,"Nonfiction, Interesting Questions",1
How Strong Is It?,Ben Hillman,Scholastic,N/A,N/A,"Nonfiction, Interesting Questions",1
How Big Is It?,Ben Hillman,Scholastic,N/A,N/A,"Nonfiction, Interesting Questions",1
Pickup Trucks,James Koons,N/A,N/A,Cars,"Nonfiction, Machines",1
Small Inventions That Make a Big Difference,National Geographic Society,N/A,N/A,Important Inventions,"Nonfiction, Machines",1
Extreme Machines: On Ice and Snow,Patricia Armentrout,N/A,N/A,N/A,"Nonfiction, Machines",1
Mega Machines,Philippa Perry,N/A,N/A,N/A,"Nonfiction, Machines",1
Snowmobiles,Muriel Dubois,N/A,N/A,Snowmobiles,"Nonfiction, Machines",1
Sprint Cars,"Peter Sessler, Nilda Sessler",Off to the Races,N/A,Cars,"Nonfiction, Machines",1
Stock Cars,"Peter Sessler, Nilda Sessler",Off to the Races,N/A,Cars,"Nonfiction, Machines",1
Making Tracks,Steve Parker,SuperSmarts,N/A,N/A,"Nonfiction, Machines",1
The Golden Book of Sharks and Whales,Kathleen N. Daly,A Golden Book,N/A,Sharks/Whales,"Nonfiction, Ocean",1
Jellyfish,Elaine Landau,A True Book,N/A,Jellyfish,"Nonfiction, Ocean",1
Sharks,Golden Books,Golden Books,N/A,Sharks,"Nonfiction, Ocean",1
I Wish I Was an Orca,Sandra Markle,I Can Read!,N/A,Orcas,"Nonfiction, Ocean",1
I Wish I Was an Orca,Sandra Markle,I Can Read!,N/A,Orcas,"Nonfiction, Ocean",1
A Closer Look At Ocean LIfe,"Susannah Cook, David Cook",N/A,N/A,N/A,"Nonfiction, Ocean",1
Discovering Sharks,Donna Parham,N/A,N/A,Sharks,"Nonfiction, Ocean",1
Wild About Dolphins,Nicola Davies,Scholastic,N/A,Dolphins,"Nonfiction, Ocean",1
A Sea Full of Sharks,Betsy Maestro,Scholastic,N/A,Sharks,"Nonfiction, Ocean",1
Sharks,Stephen Savage,Scholastic,N/A,Sharks,"Nonfiction, Ocean",1
Life In The Oceans,Lucy Baker,Scholastic (Life In The),N/A,N/A,"Nonfiction, Ocean",1
"Hungry, Hungry Sharks!",Joanna Cole,Step Into Reading,N/A,Sharks,"Nonfiction, Ocean",1
Planets,Darrow Schecter,I Can Read About,N/A,Planets,"Nonfiction, Space",1
Space,Learning to Read Staff,Learning To Read,N/A,N/A,"Nonfiction, Space",1
My First Book About Space,Dinah L. Moché,N/A,N/A,N/A,"Nonfiction, Space",1
Planets,Kim Jackson,N/A,N/A,Planets,"Nonfiction, Space",1
A Book About Planets and Stars,Betty Polisar,Scholastic,N/A,N/A,"Nonfiction, Space",1
Black Holes and Other Space Phenomena,Philip Steele,Scholastic,N/A,N/A,"Nonfiction, Space",1
Susan B. Anthony: Champion of Women's Rights,Helen Albee Monsell,Childhood of Famous Americans,N/A,Susan B. Anthony,"Biographies, Activist",1
Susan B. Anthony: Foghter for Women's Rights,Carol Ghiglieri,Easy Reader Biographies,N/A,N/A,"Biographies, Activist",1
Susan B. Anthony: Fighter for Women's Rights,Deborah Hopkinson,Ready-To-Read,N/A,N/A,"Biographies, Activist",1
